,track_id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_sig,date_added
177,4XlCmKhATaUMYPugBNgn48,Black Moon,Wilco,0.406,0.321,5,-15.597,1,0.029,0.206,0.789,0.106,0.15,96.85,236413,4,2016-01-22T18:19:11Z
178,16qzGrIMWoxerw2gnW0zuv,Pink Moon,Nick Drake,0.638,0.256,3,-15.68,1,0.0492,0.819,0.0707,0.145,0.438,82.479,123333,4,2016-01-22T18:19:18Z
179,25eoc7rwljj0oLx53Hyssu,White Moon,The White Stripes,0.446,0.262,4,-11.587,1,0.0592,0.831,0.0362,0.114,0.172,102.777,241427,4,2016-02-14T20:56:21Z
180,683b4ikwa62JevCjwrmfg6,Moondance - 2013 Remaster,Van Morrison,0.606,0.282,9,-12.207,0,0.0339,0.501,8.3e-06,0.152,0.563,67.409,274040,4,2017-05-18T01:04:30Z
181,5l9c6bJmzvftumhz4TMPgk,Harvest Moon,Neil Young,0.648,0.309,2,-12.432,1,0.0264,0.526,0.000249,0.124,0.407,112.929,303213,4,2020-04-11T21:22:46Z
182,0ja1dJM5gBTjk5U9wsMP9r,Moonlight Drive,The Doors,0.611,0.734,2,-6.686,1,0.0334,0.605,0.0,0.0892,0.82,113.266,181347,4,2020-04-11T21:24:30Z
183,20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,141600,4,2020-04-11T21:24:40Z
184,3w7hnMNX4zVZeBJ6LisTjT,Moonlight Mile - 2009 Mix,The Rolling Stones,0.417,0.5,7,-6.449,1,0.0263,0.575,0.0883,0.102,0.241,130.531,357200,4,2020-04-11T21:24:52Z
185,7Me0vOSlJfaPY7Pc4GeItd,Marquee Moon,Television,0.49,0.536,7,-10.83,1,0.0382,0.0391,0.371,0.116,0.732,118.008,638427,4,2020-04-11T21:25:00Z
186,3UX0jmEUqrMd7OTDiOUxs7,Full Moon,The Kinks,0.428,0.427,0,-11.79,1,0.0285,0.191,3.76e-05,0.112,0.352,149.904,232160,4,2020-04-11T21:25:11Z
187,5BqMq1J8wf3raTkewRftY4,All You Ever Wanted,The Black Keys,0.557,0.356,0,-11.589,1,0.0306,0.346,0.024,0.109,0.312,59.562,176253,4,2016-02-26T22:32:12Z
188,7vMyk9IOT7XBdRjPK3S69S,Act Nice and Gentle,The Black Keys,0.564,0.629,2,-4.181,1,0.0262,0.549,6.83e-05,0.122,0.733,74.857,161880,4,2016-02-26T22:33:14Z
189,3ghXwIS6cr3P5InauKlqFy,These Days,The Black Keys,0.436,0.288,7,-10.726,1,0.0315,0.746,0.00208,0.098,0.268,117.482,311840,4,2016-02-26T22:33:25Z
190,4bO5WFLohobaMQDLrhbDEq,Real Desire,Dan Auerbach,0.497,0.647,0,-7.519,1,0.0299,0.191,0.00115,0.0487,0.358,136.049,262987,4,2016-02-26T22:33:46Z
191,3fCULruC32uHpryWa2yKRI,Goin' Home,Dan Auerbach,0.415,0.295,9,-11.539,1,0.0346,0.371,0.00545,0.111,0.305,136.046,293987,4,2016-02-26T22:33:49Z
192,2SGBEDwsOAOAHrrdAd304i,She Moves In Her Own Way,The Kooks,0.431,0.81,7,-5.379,1,0.066,0.276,0.0,0.0906,0.795,76.412,169307,4,2016-02-26T22:34:16Z
193,0CPwNXw5qD9588d86nropo,This Old Heart Of Mine (Is Weak For You) - Single Version / Mono,The Isley Brothers,0.541,0.649,5,-7.579,1,0.0362,0.348,0.0,0.147,0.905,65.383,175893,4,2016-03-15T00:52:39Z
194,6rBFwJ0nQpsfr44AC3RJVq,Things Ain't Like They Used to Be,The Black Keys,0.416,0.555,0,-6.786,1,0.0293,0.18,0.0189,0.0919,0.394,134.549,276413,4,2016-02-26T22:35:50Z
195,7IY11FxQizL8Mmd0iNF8eS,Freddie's Blues,Hound Dog Taylor,0.437,0.14,2,-18.432,1,0.191,0.859,0.0129,0.368,0.397,80.661,391440,1,2016-03-07T01:35:31Z
196,00zyym4yTVCINvMCj0SI4c,Make The Road By Walking,Menahan Street Band,0.626,0.782,10,-7.769,0,0.0313,0.0179,0.05,0.0556,0.917,90.844,179853,4,2016-02-26T22:57:13Z
197,5H7HkFsIUMCFZvaMnWsPjN,Walk On By,Isaac Hayes,0.304,0.452,6,-13.497,1,0.0494,0.214,0.00112,0.0941,0.609,147.477,271667,4,2016-02-26T22:57:24Z
198,54Ws0ocRn8m70LIQDuBeMz,My Mind Is Ramblin,The Black Keys,0.345,0.675,9,-6.792,1,0.0331,0.306,0.457,0.103,0.444,138.187,405173,4,2016-02-26T22:57:28Z
199,047CiiqsAzPdS7wSrDuvlP,"Sister, Do You Know My Name?",The White Stripes,0.39,0.481,3,-4.357,1,0.0302,0.284,0.000166,0.0763,0.308,68.287,171707,4,2016-02-26T22:58:13Z
200,3yNVfRQlUPViUh8O2V9SQn,Just a Friend,Biz Markie,0.862,0.663,0,-9.004,1,0.21,0.12,0.0,0.318,0.837,85.308,238267,4,2016-02-26T22:59:20Z
201,38jqyFghcqZbGubCgOvCkJ,Sing Swan Song - 2004 Remastered Version,CAN,0.358,0.556,4,-12.21,0,0.0942,0.205,0.553,0.473,0.389,154.132,289333,3,2016-04-26T13:51:26Z
202,1j5C6t9MVOUlXFAnUPhdcQ,Halleluhwah - 2011 Remastered,CAN,0.66,0.953,7,-9.006,1,0.0382,0.0704,0.665,0.0842,0.641,92.048,1111600,4,2016-04-26T13:55:15Z
203,6r98nUME6Dui4fA1b1MOvN,Peking O - 2011 Remastered,CAN,0.339,0.848,5,-10.403,0,0.342,0.0115,0.0129,0.381,0.0526,168.386,703293,4,2016-04-26T13:57:30Z
204,4KdjQ2DMs845e6Ag6TO6Yg,Future Days,CAN,0.703,0.669,7,-17.799,0,0.0832,0.234,0.932,0.121,0.568,148.375,569573,4,2016-04-26T13:58:01Z
205,2dYtNA7uBZSKGMwCZAC7ne,Father Cannot Yell,CAN,0.313,0.711,9,-10.91,1,0.0386,0.00137,0.573,0.318,0.399,169.76,422893,4,2016-04-26T13:58:06Z
